Sex,Age,BodyweightKg,Best3SquatKg,Best3BenchKg,Best3DeadliftKg,TotalKg,Dots
M,39.5,55.52,182.5,115,195,492.5,444.18
M,41.5,57.8,172.5,105,215,492.5,428.89
M,40.5,55.16,80,60,100,240,217.71
M,47.5,65.8,215,120,230,565,443.69
M,39.5,64.44,192.5,132.5,227.5,552.5,440.74
M,42.5,65.56,205,115,195,515,405.53
M,42.5,64.96,197.5,120,195,512.5,406.35
M,43.5,61.82,170,105,212.5,487.5,401.65
M,45,65.48,155,105,215,475,374.37
M,44,65.64,150,102.5,217.5,470,369.76
M,39.5,73.7,242.5,170,265,677.5,491.57
M,40,72.88,242.5,142.5,240,625,456.83
M,44.5,73.48,202.5,142.5,255,600,436.19
M,40,72.76,232.5,120,237.5,590,431.71
M,40.5,73.74,195,127.5,215,537.5,389.85
M,44,73.4,185,115,212.5,512.5,372.85
M,45,72.54,100,120,200,420,307.94
M,42.5,81.73,266,150,267.5,683.5,465.48
M,40,82.7,235,196,252.5,683.5,462.36
M,41,82.2,227.5,165,245,637.5,432.73
M,40.5,82.64,225,137.5,270,632.5,428.04
M,41.5,82.04,222.5,120,252.5,595,404.33
M,43.5,82.2,205,117.5,255,577.5,392
M,43,82.02,182.5,147.5,235,565,384
M,40.5,92,272.5,162.5,307.5,742.5,474.9
M,46.5,92.7,280,172.5,290,742.5,473.15
M,41,91.66,240,167.5,270,677.5,434.11
M,45.5,92.5,252.5,165,255,672.5,428.99
M,41.5,86.58,240,127.5,282.5,650,428.8
M,41.5,92.82,240,155,250,645,410.76
M,46,91.92,235,150,252.5,637.5,407.91
M,43.5,92.3,230,130,255,615,392.73
M,43.5,104.56,292.5,217.5,320,830,501.42
M,40.5,102.42,270,207.5,322.5,800,487.43
M,48,104.04,267.5,195,282.5,745,450.98
M,49,104.62,270,160,285,715,431.85
M,39.5,103.56,200,125,240,565,342.67
M,46,93.58,210,120,215,545,345.73
M,45.5,115.78,310,190,330,830,482.53
M,39,116.2,310,202.5,312.5,825,479.02
M,45.5,119,260,175,305,740,426.18
M,43,109.84,262.5,182.5,285,730,432.59
M,43,119.64,247.5,165,307.5,720,413.91
M,40,112.5,245,155,252.5,652.5,383.25
M,45,152.34,365.5,185,310,860.5,460.83
M,40.5,143.76,270,190,310,770,418.88
M,41.5,145,255,192.5,242.5,690,374.48
M,52.5,58.58,175,82.5,220,477.5,411.13
M,54.5,58.16,137.5,100,187.5,425,368.16
M,58,58.64,130,110,150,390,335.51
M,51,65.24,165,120,250,535,422.82
M,56,65.34,187.5,122.5,225,535,422.34
M,53.5,65.54,177.5,112.5,230,520,409.56
M,51.5,68.62,190,115,260.5,565.5,430.75
M,50.5,73.72,187.5,112.5,225,525,380.86
M,52,73.52,160,125,207.5,492.5,357.91
M,52.5,72.18,140,105,197.5,442.5,325.52
M,49.5,82.42,248,150,252.5,650.5,440.89
M,53,78.9,207.5,135,275,617.5,429.32
M,49.5,81.34,192.5,120,260,572.5,390.96
M,53.5,81.76,210,115,245,570,388.1
M,53.5,81.64,175,115,210,500,340.73
M,52,92.68,252.5,147.5,282.5,682.5,434.96
M,53.5,92.52,250,162.5,257.5,670,427.35
M,50,91.22,227.5,170,245,642.5,412.66
M,52.5,91.12,230,150,250,630,404.85
M,49.5,91.76,232.5,125,232.5,590,377.84
M,51,91.88,170,132.5,200,502.5,321.6
M,53,104.74,247.5,150,290,687.5,415.04
M,49.5,100.88,237.5,135,285,657.5,403.18
M,56.5,103.8,227.5,157.5,270,655,396.88
M,54,98.46,217.5,157.5,235,610,378.02
M,58.5,103.02,230,115,260,605,367.72
M,52,103.9,215,147.5,240,602.5,364.92
M,54.5,103.78,210,142.5,245,597.5,362.07
M,53.5,102.54,225,165,190,580,353.21
M,50,102.84,180,130,235,545,331.5
M,52,119.48,320,217.5,270,807.5,464.43
M,58.5,118.88,250,160,240,650,374.47
M,56.5,116.36,202.5,147.5,247.5,597.5,346.76
M,52,106,210,132.5,230,572.5,343.97
M,53,111.87,167.5,122.5,205,495,291.34
M,49.5,171.5,305.5,185,287.5,778,403.96
M,51.5,145.48,247.5,162.5,277.5,687.5,372.78
M,58,121.46,225,160,270,655,374.67
M,50.5,148.18,257.5,140,257.5,655,353.39
M,52.5,132.34,222.5,127.5,247.5,597.5,332.79
M,52.5,125.88,200,97.5,230,527.5,298.31
M,64,65.48,186,115,175,476,375.16
M,66.5,73.46,202.5,90,230,522.5,379.92
M,63.5,73.4,185,125,210,520,378.3
M,61.5,73.5,165,90,190,445,323.45
M,64,73.16,155,90,185,430,313.5
M,60.5,82.72,210,110,222.5,542.5,366.93
M,60,81.72,172.5,142.5,205,520,354.16
M,60.5,82.62,175,112.5,210,497.5,336.73
M,60.5,79.5,160,100,205,465,321.83
M,59.5,82.64,177.5,125,160,462.5,312.99
M,63.5,81.12,120,95,170,385,263.33
M,63,92.46,282.5,205.5,288,776,495.12
M,64.5,89.7,210,140,217.5,567.5,367.56
M,63.5,91.18,160,92.5,190,442.5,284.27
M,60,97.3,202.5,152.5,240,595,370.69
M,60.5,103.62,200,152.5,225,577.5,350.17
M,62.5,103.88,205,145,225,575,348.29
M,66.5,104.36,167.5,130,240,537.5,324.97
M,59.5,94.2,175,112.5,185,472.5,298.8
M,60,104.3,160,140,170,470,284.22
M,63,105.9,230,100,250,580,348.6
M,62.5,111.86,205,160,215,580,341.38
M,64.5,109.66,182.5,127.5,210,520,308.34
M,63.5,122.76,217.5,142.5,260,620,353.42
M,60.5,123.54,220,140,260,620,352.7
M,59.5,135.8,225,110,237.5,572.5,316.47
M,64.5,131.32,207.5,122.5,235,565,315.41
M,60.5,137,200,105,225,530,292.24
M,70,58.4,90,95.5,142.5,328,283.14
M,70,72.28,145,90,185,420,308.68
M,69,72.54,125,80,162.5,367.5,269.45
F,44.5,45.78,102.5,75,130,307.5,410.97
F,45.5,46.56,100,70,120,290,382.72
F,44.5,46.02,95,60,122.5,277.5,369.43
F,44,46.7,80,47.5,107.5,235,309.45
F,47,51.32,137.5,62.5,160,360,442.85
F,48.5,47.98,75,37.5,112.5,225,290.44
F,48.5,47.4,60,42.5,97.5,200,260.48
F,40,55.24,120,72.5,170,362.5,424.02
F,43,56.42,132.5,62.5,135,330,380.63
F,46,56.8,110,57.5,152.5,320,367.47
F,43.5,55.92,110,60,140,310,359.67
F,44,56.12,102.5,67.5,125,295,341.46
F,39.5,55.46,105,45,125,275,320.82
F,40.5,62.94,147.5,92.5,203,443,476.73
F,40,62.04,147.5,87.5,175,410,445.13
F,48,62.38,145,77.5,180,402.5,435.52
F,45.5,60.18,137.5,72.5,157.5,367.5,406.62
F,40,61.38,110,67.5,150,327.5,357.92
F,44,61.3,112.5,52.5,135,300,328.13
F,45.5,68.32,187.5,97.5,210,495,507.5
F,44.5,68.54,172.5,82.5,175,430,440.05
F,46,68.58,142.5,95,190,427.5,437.35
F,40,67.94,150,77.5,185,412.5,424.27
F,39.5,66.1,140,87.5,175,402.5,420.64
F,43,66.2,137.5,85,147.5,370,386.33
F,46,67.96,125,72.5,145,342.5,352.22
F,42.5,68.06,117.5,62.5,150,330,339.07
F,45.5,67.78,107.5,70,147.5,325,334.73
F,46,67.34,105,67.5,140,312.5,323.07
F,43.5,66.16,95,60,150,305,318.58
F,43.5,74.56,180,105,244.5,529.5,517.33
F,49,74,150,116,185,451,442.41
F,45,75.76,177.5,95,177.5,450,435.97
F,40.5,75,160,95,192.5,447.5,435.86
F,49,72.74,170,75,195,440,435.63
F,44,74.2,147.5,82.5,172.5,402.5,394.26
F,47.5,74.72,142.5,80,155,377.5,368.41
F,44.5,75.02,135,85,155,375,365.19
F,44,74.54,135,70,157.5,362.5,354.22
F,42,70.08,125,67.5,162.5,355,358.77
F,39.5,73.72,130,75,150,355,348.95
F,45,76.3,180,112.5,207.5,500,482.62
F,43.5,82.8,187.5,107.5,192.5,487.5,451.67
F,39.5,83.26,182.5,102.5,192.5,477.5,441.23
F,47.5,83.62,172.5,82.5,210,465,428.8
F,40,83.18,152.5,77.5,212.5,442.5,409.08
F,44.5,82.92,175,90,175,440,407.38
F,42,80.18,152.5,92.5,187.5,432.5,407.07
F,48,82.16,135,90,170,395,367.35
F,45,83.24,130,70,185,385,355.8
F,39.5,82.42,145,77.5,140,362.5,336.61
F,41.5,83.94,130,65,162.5,357.5,329.07
F,40,114.68,200,137.5,235,572.5,465.58
F,45,113.72,192.5,127.5,205,525,428.08
F,46.5,122.14,177.5,100,202.5,480,383.27
F,46,103.12,165,85,220,470,396.41
